Time,Time,1 minute,0.000694444,1 hour,0.041666667,,,,,,,,,,
41559.11597,10/12/2013 2:47,,,,,98,,,,,,,,,
41559.11597,10/12/2013 2:47,,,,,99,,,,,,,,,
41559.11597,10/12/2013 2:47,,,,,100,,,,,,,,,
41559.11667,10/12/2013 2:48,,,,,,,,,,,,,,
41559.11736,10/12/2013 2:49,,,,,,,,,,,,,,
41559.11806,10/12/2013 2:50,,,,,,,,,,,,,,
41559.11875,10/12/2013 2:51,,,,,,,,,,,,,,
41559.11944,10/12/2013 2:52,,,,,,,,,,,,,,
41559.12083,10/12/2013 2:54,,,,,,,,,,,,,,
41559.12153,10/12/2013 2:55,,,,,,,,,,,,,,
41559.12153,10/12/2013 2:55,,,,,,,,,,,,,,
41559.12153,10/12/2013 2:55,,,,,,,,,,,,,,
41559.12222,10/12/2013 2:56,,,,,,,,,,,,,,
41559.12292,10/12/2013 2:57,,,,,,,,,,,,,,
41559.12292,10/12/2013 2:57,,,,,,,,,,,,,,
41559.12292,10/12/2013 2:57,,,,,,,,,,,,,,
41559.12292,10/12/2013 2:57,,,,,,,,,,,,,,
41559.12292,10/12/2013 2:57,,,,,,,,,,,,,,
41559.12431,10/12/2013 2:59,,,,,,,,,,,,,,
41559.12431,10/12/2013 2:59,,,,,,,,,,,,,,
41559.12431,10/12/2013 2:59,,,,,,,,,,,,,,
41559.12431,10/12/2013 2:59,,,,,,,,,,,,,,
41559.125,10/12/2013 3:00,,,,,,,,,,,,,,
41559.125,10/12/2013 3:00,,,,,,,,,,,,,,
41559.125,10/12/2013 3:00,,,,,,,,,,,,,,
41559.12569,10/12/2013 3:01,,,,,,,,,,,,,,
41559.12639,10/12/2013 3:02,,,,,,,,,,,,,,
41559.12639,10/12/2013 3:02,,,,,,,,,,,,,,
41559.12639,10/12/2013 3:02,,,,,,,,,,,,,,
41559.12847,10/12/2013 3:05,,,,,,,,,,,,,,
41559.12917,10/12/2013 3:06,,,,,,,,,,,,,,
41559.12917,10/12/2013 3:06,,,,,,,,,,,,,,
41559.12986,10/12/2013 3:07,,,,,,,,,,,,,,
41559.12986,10/12/2013 3:07,,,,,,,,,,,,,,
41559.12986,10/12/2013 3:07,,,,,,,,,,,,,,
41559.13056,10/12/2013 3:08,,,,,,,,,,,,,,
41559.13125,10/12/2013 3:09,,,,,,,,,,,,,,
41559.13125,10/12/2013 3:09,,,,,,,,,,,,,,
41559.13125,10/12/2013 3:09,,,,,,,,,,,,,,
41559.13194,10/12/2013 3:10,,,,,,,,,,,,,,
41559.13194,10/12/2013 3:10,,,,,,,,,,,,,,
41559.13194,10/12/2013 3:10,,,,,,,,,,,,,,
41559.13264,10/12/2013 3:11,,,,,,,,,,,,,,
41559.13333,10/12/2013 3:12,,,,,,,,,,,,,,
41559.13333,10/12/2013 3:12,,,,,,,,,,,,,,
41559.13333,10/12/2013 3:12,,,,,,,,,,,,,,
41559.13403,10/12/2013 3:13,,,,,,,,,,,,,,
41559.13403,10/12/2013 3:13,,,,,,,,,,,,,,
41559.13403,10/12/2013 3:13,,,,,,,,,,,,,,
41559.13403,10/12/2013 3:13,,,,,,,,,,,,,,
41559.13681,10/12/2013 3:17,,,,,,,,,,,,,,
41559.13681,10/12/2013 3:17,,,,,,,,,,,,,,
41559.1375,10/12/2013 3:18,,,,,,,,,,,,,,
41559.1375,10/12/2013 3:18,,,,,,,,,,,,,,
41559.1375,10/12/2013 3:18,,,,,,,,,,,,,,
41559.13819,10/12/2013 3:19,,,,,,,,,,,,,,
41559.13889,10/12/2013 3:20,,,,,,,,,,,,,,
41559.13958,10/12/2013 3:21,,,,,,,,,,,,,,
41559.14097,10/12/2013 3:23,,,,,,,,,,,,,,
41559.14097,10/12/2013 3:23,,,,,,,,,,,,,,
41559.14167,10/12/2013 3:24,,,,,,,,,,,,,,
41559.14236,10/12/2013 3:25,,,,,,,,,,,,,,
41559.14306,10/12/2013 3:26,,,,,,,,,,,,,,
41559.14306,10/12/2013 3:26,,,,,,,,,,,,,,
41559.14306,10/12/2013 3:26,,,,,,,,,,,,,,
41559.14306,10/12/2013 3:26,,,,,,,,,,,,,,
41559.14306,10/12/2013 3:26,,,,,,,,,,,,,,
41559.14375,10/12/2013 3:27,,,,,,,,,,,,,,
41559.14375,10/12/2013 3:27,,,,,,,,,,,,,,
41559.14444,10/12/2013 3:28,,,,,,,,,,,,,,
41559.14444,10/12/2013 3:28,,,,,,,,,,,,,,
41559.14514,10/12/2013 3:29,,,,,,,,,,,,,,
41559.14583,10/12/2013 3:30,,,,,,,,,,,,,,
41559.14583,10/12/2013 3:30,,,,,,,,,,,,,,
41559.14583,10/12/2013 3:30,,,,,,,,,,,,,,
41559.14583,10/12/2013 3:30,,,,,,,,,,,,,,
41559.14653,10/12/2013 3:31,,,,,,,,,,,,,,
41559.14653,10/12/2013 3:31,,,,,,,,,,,,,,
41559.14722,10/12/2013 3:32,,,,,,,,,,,,,,
41559.14722,10/12/2013 3:32,,,,,,,,,,,,,,
41559.14722,10/12/2013 3:32,,,,,,,,,,,,,,
41559.14722,10/12/2013 3:32,,,,,,,,,,,,,,
41559.14792,10/12/2013 3:33,,,,,,,,,,,,,,
41559.14792,10/12/2013 3:33,,,,,,,,,,,,,,
41559.14792,10/12/2013 3:33,,,,,,,,,,,,,,
41559.14861,10/12/2013 3:34,,,,,,,,,,,,,,
41559.14931,10/12/2013 3:35,,,,,,,,,,,,,,
41559.14931,10/12/2013 3:35,,,,,,,,,,,,,,
41559.15,10/12/2013 3:36,,,,,,,,,,,,,,
41559.15,10/12/2013 3:36,,,,,,,,,,,,,,
